,Unnamed: 0,gender,age,emotion,base,rewriting
1669,1669,Female,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,I apologise if these questions may sound a bit personal. Are you perhaps experiencing a personal crisis or urgency of some kind and is this the cause of your emotions?
1674,1674,Male,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for being open and honest, I want to make sure you're okay. Is your social and personal well-being suffering particularly harshly at the moment, given everything that's going on?"
1676,1676,Male,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"While it is normal to face some hardships in life, major events like  breaking up with loved ones or falling out with friends can sometimes culminate into a personal crisis. Do you think that you may be going through a serious crisis right now?"
1679,1679,Female,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,I hope you can trust me enough to let me know if you need help. Do you feel you are going through a really hard time at the moment?
1680,1680,Male,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"It's very common for people to become anxious when things aren't going well in their personal lives. Are you having a more stressful time than usual in your personal life (for example, a problem with loved ones or friends)?"
1682,1682,Male,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I'd like to know how other things in your life, and relationships, are going right now. Is it possible that you are going through a particularly rough patch at the moment, or are facing major issues?"
1683,1683,Female,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you again, I just want to make sure that everying is alright in general. Is there any part of your life that is troubling you lately?"
1684,1684,Male,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Perhaps your stress stems from something difficult you are personally going through. Are you experiencing any difficulties with loved ones, or friends?"
1690,1690,Male,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Things must be very difficult for you right now, so I wonder if anything major is happening. Is there anything going on in your life that feels bigger than normal?"
1698,1698,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,I'm glad to hear that! Would you like me to recommend a protocol to hopefully enhance your positivity even further?
1699,1699,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"Oh, it's really great to hear it! I'd like to recommend a protocol to match your current feeling, if you let me."
1700,1700,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,It's so nice to have that feeling; I wish we could capture it and put it in a bottle. There is a protocol I can recommend that can help enhance how you're feeling.
1703,1703,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"That's great! I happen to have a protocol that could help maximize these positive feelings, would you like to check it out?"
1705,1705,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"That sounds great. I have a protocol you could try to improve this feeling even more, believe it or not!"
1709,1709,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,That's great to hear. Would you be interested in looking at a protocol you can try?
1710,1710,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"That's great to hear! I can suggest a protocol that may help to boost your positive feelings, making sure you feel good for as long as possible."
1711,1711,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,Glad you're good. Could I give you a protocol that you can attempt to make this good feeling have even longer-lasting effects?
1713,1713,Female,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,I am so glad to hear this. I think this would be the perfect time to try a protocol that might make you feel even better.
1714,1714,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"That's great to hear! Let's try a protocol to see if we can keep that going, what do you say?"
1715,1715,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,That's great! Can I recommend a protocol you can attempt to enhance this positive feeling?
1717,1717,Female,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"Delighted to hear that. I am thinking of a protocol that might make you feel even better, would you like to hear more?"
1718,1718,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"Awesome, I am so glad to hear it. May I recommend a therapeutic protocol to enhance your positive feelings?"
1722,1722,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"That's great! I could still recommend a protocol that can help build on this good feeling, if you would like to hear about it."
1723,1723,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"That's really good, I'm glad to hear it. If you want, I could suggest a protocol to elevate your mood."
1724,1724,Female,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"I'm really pleased you feel that way. I think I can recommend a protocol that could help you feel even happier, would you like to hear about it?"
1725,1725,Male,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,I'm glad that you're in a good mood. I can recommend you a protocol you can try to make yourself feel even better! What do you think?
1727,1727,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,Nice to hear you're in a good mood. I actually have a beneficial protocol you could try.
1728,1728,Female,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"Great, it looks like you've taken a massive step towards getting happier! Shall we pick a protocol together to keep this going?"
1729,1729,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"Great to hear that you're feeling well. Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it?"
1732,1732,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"Brilliant, that's always nice to hear. Would you like me to give you a protocol to feel even more content?"
1733,1733,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"Oh I am very glad to hear that! Feeling happy/content is something we all want to maintain, so may I recommend a therapeutic protocol you may use to enhance and maintain that positive feeling?"
1736,1736,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,That is great to hear! Would you like to try a protocol to match your mood? I hope it could inspire you and brighten your day even more.
1737,1737,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,That's great! To keep this up may I show you a protocol you can do?
1739,1739,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,It is great to see you so positive today. May I recommend a protocol that is suitable for your current mood?
1741,1741,Male,40-69,Happy,That's Good! Let me recommend a protocol you can attempt.,"It's a great feeling. May I suggest a protocol to help enhance and maintain good feelings, it may really help?"
1746,1746,Female,18-39,Happy,That's Good! Let me recommend a protocol you can attempt.,"It's great to herar that you feel this way. I have a protocol that might enhance this positive feeling, would you like to try it?"
1747,1747,Female,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you so much for sharing with me. From your answer, it sounds like you are feeling {}, does it sound right?"
1748,1748,Female,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"I see, thank you. From what you have told me I would say that you are feeling {} right now, does that sound about right?"
1749,1749,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thanks for telling me, I want to make sure I've understood correctly. I believe you're feeling {}, could you confirm that?"
1758,1758,Male,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"I see, thank you for sharing. I think that you are feeling {}, would I be correct in saying that?"
1762,1762,Female,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you, I just want to make sure that I have understood correctly. I think you are feeling {}, does that sound right?"
1763,1763,Male,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you, I just want to make sure that we are on the same page. Would you say that {} best describes how you're feeling right now?"
1764,1764,Female,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you for entrusting me by sharing how you feel. From what you have told me, I believe you are feeling {} ?"
1765,1765,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you, and please forgive me if I'm wrong. I believe you are {}, am I correct in thinking that?"
1778,1778,Female,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you, let me just double check on what you've just told me. From what I can gather you are feeling {}, is that accurate?"
1779,1779,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thanks for your answer. It sounds to me like you're {} right now, does that description match how you feel?"
1786,1786,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?"
1788,1788,Female,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?"
1789,1789,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you for sharing your thoughts with me. I have the feeling that you are {}, is that the case?"
1792,1792,Female,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you. From what you have told me I understand that you are feeling {}, do you think this more or less describes the way you're feeling?"
1793,1793,Female,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you so much for your input. It sounds to me that you are feeling {} right now, does that sound accurate?"
1794,1794,Male,40-69,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Thank you for your openness. Judging by your response, I think that you're feeling {}, would I be correct in saying that?"
1796,1796,Female,18-39,All emotions,From what you have said I believe you are feeling {}. Is this correct?,"Taking all you have said into consideration, I believe that you are feeling {}, is this the case? Please feel free to correct me if not."
1797,1797,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I am sorry for the misunderstanding. Would you be able to tell me which of these emotions matches what you're feeling?
1798,1798,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Oh, I am really sorry, I must have misunderstood then. Could you please tell me how you are feeling by selecting from the list below:"
1799,1799,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Oh I'm so sorry, I really appreciate you telling me I've got it wrong - sometimes it can be hard. Can you give me a bit of help to make sure I do understand? Here's a list - please let me know which one describes what you're feeling:"
1801,1801,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,Oh I'm sorry I have misunderstood your emotion. Perhaps you might describe your current emotion as one of these on the list?
1802,1802,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I'm so sorry. How are you actually feeling? Could you please select it from the list below?
1803,1803,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,So sorry. Kindly select how you're feeling from the emotions below:
1804,1804,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?"
1807,1807,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I am sorry I misunderstood that. Could I ask that you choose from the list below the emotion that more accurately captures how you are feeling?
1808,1808,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I'm very sorry for that. Would you be able to highlight the emotion that you are actually feeling right now from the ones below?
1809,1809,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Oh no, I seem to have misunderstood, I'm sorry about that. Let me try again: please take a look at the list below and choose which emotion best represents your feelings today."
1812,1812,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Oh no, I am so sorry. Please, if you don't mind, select how you are feeling from this list:"
1814,1814,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I am sorry for the misunderstanding. Please correct me by selecting from the emotions below the one that reflects what you are feeling:
1816,1816,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I am really sorry that I got that wrong. Perhaps one of the following emotions would that describe it more accurately?
1819,1819,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I am so sorry, my bad. Which of these emotions are you feeling currently, in your opinion?"
1820,1820,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,My apologies for the misunderstanding. It would be really helpful if you could select an emotion below that truly reflects how you are feeling.
1821,1821,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,I'm sorry for misunderstanding how you are feeling. Please tell me how you are feeling so that I can understand better.
1822,1822,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,Sorry for the misunderstanding. What emotion would you say you are feeling at the moment?
1823,1823,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I'm sorry, maybe I'm not the best at reading people. How are you feeling today if you don't mind me asking, could you please select from the list below what you feel is closest to your current mood?"
1825,1825,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I am sorry, perhaps I misunderstood how you are feeling. I think it might be best if you could pick out the emotion that you feel represents your case the best:"
1827,1827,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"My apologies, I must be mistaken then. Please tell me, which of these emotions below are you experiencing?"
1829,1829,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Sorry about that, I really want to understand how you're feeling. Could you please help me by selecting the option from the list that best matches how you're feeling?"
1830,1830,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,My apologies. Let's take a look at this list and see what best reflects what is you are feeling right now.
1831,1831,Male,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"My apologies. If you could, please tell me how you're feeling by selecting from the list below:"
1832,1832,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I am so sorry, I didn't mean to misjudge. Are you feeling any of these emotions? If so please let me know by selecting it:"
1833,1833,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"My apologies for misunderstanding how you are actually feeling. Could you please select from the emotions below the one that best reflects what you are feeling, so I can understand it better?"
1834,1834,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,Sorry about that. Please read the below emotions and select the one that best fits how you feel:
1835,1835,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I'm so sorry. Do you want to help me understand how you're feeling, by selecting it yourself?"
1839,1839,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Sorry, sometimes it can be hard to make an accurate assessment of someone else's feelings. Would you like to pick out the kind of emotion you are feeling from this list?"
1841,1841,Male,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"Oh my bad, sorry; I misinterpreted the signals. Just to avoid any further confusion, please select from the emotions below the ones that best reflect your current feelings:"
1842,1842,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I apologise, i must have misunderstood. Perhaps you could indicate from the list below which emotion best represents how you are feeling?"
1843,1843,Female,40-69,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I'm so sorry, I'd love to understand better how you're feeling. Could you select the emotion that you think is appropriate?"
1845,1845,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I am sorry that was incorrect. Looking at the list below, could you tell me how you feel?"
1846,1846,Female,18-39,All emotions,I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,"I'm sorry to hear that i have misunderstood. In your own words, please could you specify the emotion that you are feeling?"
1848,1848,Female,18-39,All emotions,Thank you for taking part. See you soon,"Thank you so much for your time and cooperation today, I hope you enjoyed our session. I look forward to seeing you next time."
1849,1849,Male,40-69,All emotions,Thank you for taking part. See you soon,"Thanks so much for talking with me, I really hope it's done some good. Really hope to see you again soon!"
1851,1851,Male,18-39,All emotions,Thank you for taking part. See you soon,I'm very grateful you took part and hopefully we can meet again soon.
1852,1852,Female,18-39,All emotions,Thank you for taking part. See you soon,"Thank you so much for taking part in this session, I really appreciate your time. I'll see you soon!"
1854,1854,Male,18-39,All emotions,Thank you for taking part. See you soon,"Thank you for taking part, I really appreciate it and your efforts are very valuable. Have a good day!"
1855,1855,Female,40-69,All emotions,Thank you for taking part. See you soon,"Thank you for today, I really appreciate it. Catch up again soon."
1857,1857,Female,40-69,All emotions,Thank you for taking part. See you soon,I really appreciate the time that you have taken and all that you have shared with me. I hope to be in touch again soon.
1858,1858,Male,18-39,All emotions,Thank you for taking part. See you soon,"I really appreciate your effort, thank you for taking part. Let's talk again soon."
1859,1859,Female,18-39,All emotions,Thank you for taking part. See you soon,"Let's end here for today, thank you for talking with me and I hope this conversation has been helpful. Looking forward to seeing you again soon."
1861,1861,Male,18-39,All emotions,Thank you for taking part. See you soon,I would really like to take the time to thank you for being such an amazing participant. It would be lovey to see you agiain soon.
1862,1862,Female,40-69,All emotions,Thank you for taking part. See you soon,Thank you so much for spening time with me on this session. I really look forward to seeing you soon.
1863,1863,Male,18-39,All emotions,Thank you for taking part. See you soon,Thank you very much for your time and efforts. Have a good day!
1865,1865,Male,40-69,All emotions,Thank you for taking part. See you soon,Thank you ever so much. I hope to see you soon.
1866,1866,Female,40-69,All emotions,Thank you for taking part. See you soon,"Im really pleased that you could participate. I hope that we will be in touch very soon, thanks again."
1867,1867,Male,18-39,All emotions,Thank you for taking part. See you soon,"Thank you, you've been great and it's been a pleasure to work through this together. I hope you will be back soon."
1868,1868,Female,18-39,All emotions,Thank you for taking part. See you soon,I am grateful for your participation. I hope to work with you again soon.
1869,1869,Male,40-69,All emotions,Thank you for taking part. See you soon,"Thanks, you were brilliant today. I hope I will see you soon, bye!"
1870,1870,Female,18-39,All emotions,Thank you for taking part. See you soon,Many thanks for your cooperation. I hope to see you again soon.
1871,1871,Female,18-39,All emotions,Thank you for taking part. See you soon,Thank you so much for opening up to me and telling me how you feel. I'm glad we could have this chat and I am here if you need me.
1872,1872,Male,40-69,All emotions,Thank you for taking part. See you soon,Thank you so much for taking part in this. I hope to see you soon.
1874,1874,Female,40-69,All emotions,Thank you for taking part. See you soon,"We've come to the end of the session, I'd like to thank you for taking the time to work through this with me. See you soon."
1875,1875,Male,18-39,All emotions,Thank you for taking part. See you soon,I want to sincerely thank you for taking part in this. I hope to see you soon!
1877,1877,Male,40-69,All emotions,Thank you for taking part. See you soon,"Thank you, I greatly appreciate that you took part in this activity. I look forward to seeing you in the near future."
1878,1878,Female,40-69,All emotions,Thank you for taking part. See you soon,"I'm really pleased we managed to have this time together, I hope it helped you. You can come back whenever you feel like talking some more."
1879,1879,Male,40-69,All emotions,Thank you for taking part. See you soon,"Thank you so much for taking part in this session, I really appreciate your time and the thoughtful input you provided, and hope the session was of some use to you. I'm looking forward to seeing you again soon, take care."
1880,1880,Female,40-69,All emotions,Thank you for taking part. See you soon,"It was great to talk to you, thank you for your time. Bye for now."
1883,1883,Male,40-69,All emotions,Thank you for taking part. See you soon,Thank you kindly for your time and cooperation during this session. I look forward to another session soon.
1885,1885,Female,18-39,All emotions,Thank you for taking part. See you soon,I appreciate that you've spent this time with me. I hope to see you soon.
1886,1886,Male,40-69,All emotions,Thank you for taking part. See you soon,"Thank you for being brave and sharing your feelings today, I appreciate that. I look forward to our next session."
1887,1887,Female,18-39,All emotions,Thank you for taking part. See you soon,"Thank you so much for your honesty and efforts today, much appreciated. See you again soon!"
1888,1888,Female,18-39,All emotions,Thank you for taking part. See you soon,"I really appreciate you speaking with me, it takes courage to talk about one's feelings. I look forward to talking with you again!"
1889,1889,Male,40-69,All emotions,Thank you for taking part. See you soon,"I want to thank you for sharing your thoughts and feelings with me today. I really would like to see you again soon, so please drop by when you can."
1891,1891,Male,40-69,All emotions,Thank you for taking part. See you soon,"Your participation has been invaluable and really appreciated, thank you for your time. I hope to see you soon."
1892,1892,Female,40-69,All emotions,Thank you for taking part. See you soon,I'm very grateful for your time spent on this. I hope to see you again.
1893,1893,Female,40-69,All emotions,Thank you for taking part. See you soon,"Thanks, it's been great having this conversation with you. I hope we meet again soon."
1894,1894,Male,40-69,All emotions,Thank you for taking part. See you soon,I am grateful for your participation today. I look forward to more fruitful engagements with you in the future.
1908,1908,Male,18-39,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","Now that we have all the relevant information, I would like to suggest some protocols to you that I think would have a positive impact. You can choose whichever protocol resonates with you the most."
1925,1925,Female,40-69,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","I think if we can get to the root of these feelings, we could get you feeling much better. Do you think you would like to try any of the following protocols? Have a look through and let me know if there is something you would like to try."
1928,1928,Female,18-39,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","Based on what you've told me, I've selected some protocols that may be helpful to you. Would you like to try a protocol now? If so, please select it."
1931,1931,Male,40-69,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","I have here a few protocols that I would like you to look at, I think that they may be able to help you. Could you read through them and tell me which one you think would be most beneficial for you and that you would like to try."
1936,1936,Female,18-39,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","I have some recommendations I think could help you out if you wish. Of the protocols below, is there one you would like to try now? If so please select it."
1937,1937,Female,18-39,All emotions,"Here are my recommendations, please select the protocol that you would like to attempt","I have a couple of recommendations of what I think might work here. Please go ahead and take a look, you can select whichever protocol you feel most comfortable with."
1946,1946,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Take your time reading through to understand, and try to go through the whole thing if you can. Just hit the 'continue' button when you are done."
1947,1947,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","I advise you to attempt this protocol now, it may be difficult but just try your best and it will be fine. After you complete the protocol, press the 'continue' button and then we can talk about it a bit, if you like."
1948,1948,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Thank you for making your choice, you should be able to see the protocol now; please see how you get on with it. You can press 'continue' once you have finished."
1950,1950,Male,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Thank you for choosing this protocol. Would you be happy to attempt this protocol now and when you have finished, please could you press the 'continue' button."
1951,1951,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Thank you, now could you try going through the protocol you've selected. When you have finished, I'd be grateful if you could come back to me and press 'continue'."
1952,1952,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","I think this will be good for you, and I'm here to help. Please try to go through this now and when you finish, press 'continue'."
1953,1953,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","When you are ready I would like you to read and attempt the protocol. Once you are comfortable with this, feel free to select 'continue'."
1954,1954,Male,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","It may be helpful for you to try to go through this protocol now,  If you can please give it a try. Once you have finished, all you need to do is press 'continue'."
1956,1956,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","I understand that this protocol may be challenging but could you please try to complete it. If you manage to complete it, press 'continue' and I'll ask you a few follow-up questions."
1957,1957,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Great, now I would like you to try to complete this protocol. Take your time and when you get to the end just press 'continue'."
1960,1960,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Now that you have made your choice, please follow the protocol and I hope you'll enjoy it. Once you have worked through it, you will want to press the 'continue' button."
1961,1961,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'",That's great. Could you please follow this protocol now and hit 'continue' when you're done.
1962,1962,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'",Thank you. Have a go at working through this protocol now and we'll see if it helps. Press 'continue' when you are finished and we will talk some more.
1968,1968,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'",Great! Now could you please try to go through this protocol and press 'continue' when you're finished.
1972,1972,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Please try finishing the protocol in your own time. When you're done with it, please come back and hit 'continue', so we can assess how that went."
1973,1973,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","That's great, I'm glad you are willing to give this a try, hopefully you will find it very helpful. Please go through the protocol when you're ready and if you can press 'continue' once done, that would be great."
1974,1974,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","In your own time, have a look at this protocol and try to complete it. You can press ""continue"" when you are finished."
1975,1975,Female,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Have a read through the protocol, please take your time and go at your own pace, there's no rush. When you have completed it, press 'continue'."
1976,1976,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Great, let's go ahead then. Once you've tried your best and finished, come back and press ""continue""."
1979,1979,Male,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Please read through the protocol information, when you feel you understand and are ready to begin, try and work your way through it. Once you have finished please press 'continue'."
1980,1980,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Please take some time to go through the protocol now. When you are ready, please come back so we can continue."
1981,1981,Male,40-69,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","I appreciate this may be new but try to go through this protocol now. When you finish, press the 'continue' button."
1988,1988,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Please try to focus on yourself and the task while you go through this protocol. At the end, press the 'continue' button."
1989,1989,Male,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","When you've selected the protocol you want to try, please begin the protocol. When you have finished, you may press 'continue' to carry on."
1990,1990,Female,18-39,All emotions,"Please try to go through this protocol now. When you finish, press 'continue'","Thanks for your selection! I would appreciate it if you could try to go through this protocol now. Once you are done, you can come back and press the 'continue' button."
1996,1996,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"I understand that doing the protocol may have been difficult and demanding. How do you feel now, would you say you feel better or worse?"
1998,1998,Female,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you and welcome back. Now that you have finished, how do you feel?"
1999,1999,Male,40-69,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you very much for taking this protocol. What are your initial feelings now you have finished, do you feel better or worse?"
2005,2005,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you, I know that might have been demanding. Has the protocol made you feel better or worse than before?"
2009,2009,Female,40-69,All emotions,Do you feel better or worse after having taken this protocol?,Thank you. It would be very helpful if you could indicate whether this activity has made you feel better or worse than you did before starting.
2011,2011,Female,40-69,All emotions,Do you feel better or worse after having taken this protocol?,"Thanks for doing that. Has it made a difference, and if so do you feel better now, or worse?"
2013,2013,Female,40-69,All emotions,Do you feel better or worse after having taken this protocol?,"How are you feeling now you have completed the protocol, if I may ask? I hope you feel better, but it's ok if you feel worse, just tell me and I'll try to help."
2016,2016,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,Thanks. How do you feel after taking this protocol? I hope you feel better now but it's ok if you think you feel worse.
2020,2020,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Now, it's perfectly normal to feel either better or worse immediately after doing this. How would you say you feel after completing the protocol?"
2022,2022,Female,40-69,All emotions,Do you feel better or worse after having taken this protocol?,Thank you for taking the time to complete the protocol. How did it make you feel - better or worse?
2023,2023,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"I would like to ask how you feel about the protocol, and whether it has helped you. Do you feel better, or has it actually made you feel worse?"
2030,2030,Male,40-69,All emotions,Do you feel better or worse after having taken this protocol?,"Thanks for trying the protocol. If you think about how you felt before taking it and how you feel now, would you say you feel better or worse?"
2031,2031,Female,40-69,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you for confirming, I hope you don't mind sharing with me how you feel sfter taking this protocol. Do you think you're feeling better or worse than before?"
2034,2034,Female,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Would you say you feel better or worse after taking it? I really hope I hope the protocol helped you, but feel free to tell me if that's not the case."
2036,2036,Male,40-69,All emotions,Do you feel better or worse after having taken this protocol?,How do you feel after doing this protocol? I hope it has helped.
2038,2038,Male,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you, I would like to know how you are feeling now. Do you think the protocol had any positive or negative effects?"
2039,2039,Female,18-39,All emotions,Do you feel better or worse after having taken this protocol?,"Thank you, I hope that was helpful to you. Could you tell me if you are feeling better or worse after taking this protocol?"
