response,annotator1_score,annotator2_score,annotator3_score,empathy_score
"Without being intrusive, may I ask if there is someone in your life who you feel is not behaving in a way that you wish they would?",1,2,2,2
"I can see that you're feeling anxious, and I'd like to help. Is there something specific that caused this feeling?",2,2,2,2
Do you feel a weight on your shoulders to save others?,1,0,0,0
"Are you trying to help too much, perhaps, and feel that the person you're trying to help just won't listen to you?",2,1,1,1
"Has the protocol helped you to feel better, or do you feel worse?",1,0,0,0
Please select the protocol that you would like to attempt now.,0,0,0,0
"In other conversations you've had with people, have you fully considered the points they've tried to make?",0,1,1,1
"Have you already tried thinking over that again by doing Protocol 6, and if so how was that, did it reignite uncomfortable emotions?",1,0,0,0
"I am sorry to hear this session wasn't helpful. As you know, there are more protocols on the list, do you think you might like to try another and see how that goes?",1,2,2,2
I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way?,1,2,2,2
"Is there anything going on in your personal life that could be upsetting, have you fallen out with anyone close to you?",1,1,2,1
Would you say you're the kind of person who is comfortable taking other people's views into account during conversations?,1,0,1,1
"In the past, when conversing with others, did you put yourself in their shoes?",0,0,1,0
"Do you think that you always have to save people from trouble, even if they're creating it themselves?",1,0,0,0
"I would love it if you could go through this protocol. When you are done, you can press 'continue'.",2,1,1,1
"In previous conversations you have had, do you feel you have always been able to consider different viewpoints?",1,0,1,1
"How do you think you are feeling now, having completed the protocol?",1,1,1,1
Would you honestly say that you are open to other people's viewpoints?,0,0,1,0
"Thank you. From what you have told me I understand that you are feeling {}, do you think this more or less describes the way you're feeling?",2,1,2,2
"Do you think this is someone else's fault, is there someone that's causing you to feel bad?",0,0,1,0
Is there anything in particular which has made you feel that way?,0,0,1,0
"Are you working through something painful, such as a falling out with someone who is or was dear to you?",1,1,2,1
Are you able to genuinely consider the viewpoints of people you speak with?,1,0,0,0
"Try this protocol, and when you have worked through it, press 'continue'.",0,0,0,0
"Sometimes we feel strong emotions that are not becoming of us; it's ok to feel them, but it's worth reflecting upon them. Do you think you may have expressed any of the following negative emotions towards someone recently:",2,2,2,2
"Now, I would just like to clarify you are feeling {}, is that correct?",1,0,0,0
"Thank you for confirming that you have taken this protocol, I hope it was a positive experience for you. May I ask if you are now feeling better or worse than before you started the protocol?",2,2,2,2
Please tell me which protocol you'd like to try.,0,0,1,0
How are you feeling after doing this?,0,0,0,0
"I see, thank you. Was this caused by a recent or distant event (or events)?",1,0,0,0
Have you recently attempted Protocol 6 and as a result relived traumatic events?,1,0,0,0
Has this protocol made you feel better or worse?,0,0,0,0
"Brilliant, that's always nice to hear. Would you like me to give you a protocol to feel even more content?",1,1,2,1
Do you always criticise yourself if anything goes wrong?,0,0,0,0
Do you feel like you have let someone down?,0,0,0,0
Which one would you like to try?,0,0,0,0
