Sex,Age,Sad - Patient response 1,Sad - Patient response 2,Sad - Patient response 3,Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Patient response 1,Angry - Patient response 2,Angry - Patient response 3,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Patient response 1,Anxious - Patient response 2,Anxious - Patient response 3,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - Patient response 1,Happy - Patient response 2,Happy - Patient response 3,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I feel stressy and anxious,"I'm not feeling great, have anxiety",I just want to leave here,,,,,,,"Sorry to hear about your troubles, let's try to get to the bottom of it. Do you believe you are letting someone down?",Do you think bad things are being done to you?,are you trying to get a specific something out of someone?,Do you always blame yourself when things don't go according to plan?,Have you considered what other people are thinking?,Is there something particularly distressing going on in your life that could be affecting how you are feeling?,great,amazeballs,really really good,Can I recommend a protocol to enhance that?,"Thank you, and please forgive me if I'm wrong. I believe you are {}, am I correct in thinking that?","Ah, I apologise. Which of the emotions off this list best describes what you are experiencing?",Thank you ever so much. I hope to see you soon.,,,,,
Female,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm not feeling great, I have that sinking feeling that comes with anxiety.",I feel like something bad could happen and I'm afraid that it will.,"I really don't feel great, I have a feeling of dread in the pit of my stomach.",,,,,,,Do you think it would be helpful to you if you were to help someone else?,I wonder if you feel that someone else's actions have made you feel like this. Do you blame others for how you feel right now?,Are hoping that you can influence someone or something else?,"Im sorry that you are not feeling great, and I wonder if you are putting the blame on yourself for it. Do you think you are always blaming yourself for every problem?",Would you say that you are always able to consider someone's perspective and opinion when you are chatting with them?,I worry about how you are feeling. Are you having a particularly tough time in your life at the moment?,I'm feeling great thanks,"All is going well, Im delighted to say","Thanks for asking, I'm in a good place","Delighted to hear that. I am thinking of a protocol that might make you feel even better, would you like to hear more?","I would say that you're feeling {} right now, do you think that is a reasonable description of your current mood?",I am really sorry that I got that wrong. Perhaps one of the following emotions would that describe it more accurately?,"Im really pleased that you could participate. I hope that we will be in touch very soon, thanks again.",,,,,
Male,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Today have been a long day and how the meeting went have put me on my heels as to what my future in this company holds,right now extremely tensed for my life after the robbery attack,Anxious about what my test result will be,,,,,,,"I know you are going through a difficult moment right now, but please let me investigate a little to try and find out if there's a deeper cause. Do you think you may have a tendency to try to save other people?","That's ok, thanks. Do you blame anyone for what is happening to you and do you see yourself as a victim in all this?","I appreciate you for opening up to me. In all this, do you see yourself trying to influence or control someone elses's actions?","Thanks, your emotions and feeling are valid and I'd like to understand more. Do you always feel that you are to blame for any predicaments or issues in your life?","Thanks, I appreciate your honesty and you seem to me a very open person, however it is easy sometimes to get too attached to our convictions and this can prevent us from growing as individuals. In all honesty, do you feel that you have always been able to take onboard other people's point of views?","Thank you for everything you've shared so far. If I may ask, do you feel like you are going through a particularly difficult situation, either with family, friends or loved ones?","I am doing great, just got my long awaited promotion","The day has a been a good one, my son got got a championship","I'm feeling on top of the world, it's my wedding anniversary",,"Reading what you have told me I believe that you are feeling {}, is that close enough?","Oh, I'm so sorry I've misunderstood you. From the emotions listed, could you please choose the one that best defines your current feeling?","Thank you, you've been great and it's been a pleasure to work through this together. I hope you will be back soon.",,,,,
Female,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling a bit scared,I feel quite uneasy,I'm feeling worried at the moment,,,,,,,"I am sorry that you feel anxious, and I wish to try to understand a bit better if there are other factors at play. May your current feeling be caused by believing that you should help someone whenever they are in need?","I understand. Do you perhaps feel that someone else is at fault, as if they they are making you feel this way?","I understand. Perhaps someone in your life is not behaving as you feel they should, and you may be encouraging them to change their ways?","I see. Looking within yourself, would you say you always feel accountable or accuse yourself whenever something goes wrong?","In past conversations you've had with friends or loved ones, have you always considered their perspective whenever they have shared it with you?",I apologise if these questions may sound a bit personal. Are you perhaps experiencing a personal crisis or urgency of some kind and is this the cause of your emotions?,I feel happy,I feel overjoyed,I feel satisfied with my life,"Awesome, I am so glad to hear it. May I recommend a therapeutic protocol to enhance your positive feelings?",Thank you for opening up to me. Am I correct in assuming that you are feeling {}?,I deeply apologise. Please select an emotion from the list below that best describes the way you are feeling:,I am grateful for your participation. I hope to work with you again soon.,,,,,
Male,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am scared. I cannot find my son.,"I am worried, my phone is not working.",I am terrified! A mad axe murderer is in my house.,,,,,,,Do you think it is your responsibility to help others?,Do you think that people are being unfair to you?,Do you get really annoyed when someone does something you were hoping they wouldn't?,Do you always feel bad about yourself when something goes wrong?,Do you always listen to everyone talking to you?,Do you feel you may be going through a personal crisis right now?,I am great.,I am delighted.,I am fantastic.,Fantastic! Dio you think you might like to try a protocol today?,"I think that perhaps you are feeling {}, do you think that's true?","I am so sorry, my bad. Which of these emotions are you feeling currently, in your opinion?","Thanks, you were brilliant today. I hope I will see you soon, bye!",,,,,
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling worried and terrified that my COVID test will be positive.,I am feeling restless and upset and I cannot understand why.,I am afraid of not succeeding in my job and feeling like an impostor.,,,,,,,Do you think that sometimes you prioritise other people's problems and try to rescue them as a way of not dealing with your own issues?,"Do you think that you might unintentionally find yourself looking towards other people as the source of your feelings of negativity, and feel like you are a victim as a result?","Do you think it's possible that, in managing your negative feelings, you may be showing controlling behaviours toward someone in your life?","When something goes wrong, do you find yourself always looking inwards and applying blame and accusation to yourself?","When having conversations in the past, do you think that you have always fully considered the points made by other people?",Is there anything in your personal life that is causing additional stress right now?,I am fantastic and feel I am accomplishing a lot today.,I am elated I just passed my exam.,I am very happy as I just got accepted into college.,Great to hear! can I show you a protocol that might enhance how you are feeling right now?,"Listening to you, it seems that you're feeling {}, did I understand correctly?",My apologies for the misunderstanding. It would be really helpful if you could select an emotion below that truly reflects how you are feeling.,Many thanks for your cooperation. I hope to see you again soon.,,,,,
Female,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My anxiety is high today.,I feel really nervous today.,I've got a lot on my mind.,,,,,,,Do you feel as though you have a duty to help another person?,Do you feel that you have been negatively impacted by someone else's actions?,"Do you think that you could be trying to control another person, whether you intend to or not?","Do you find that you always blame yourself for things that go wrong, even if they're out of your control?","Have you, in all honesty, been also thinking about how others may feel due to your words and/or actions, and have you considered their perspective?","If I may ask, are you going through some personal issues at the moment that could be causing you to have a difficult time?",I'm good!,I feel great.,Im thankful for where I am at right now.,"That's good! I have some some protocol suggestions to help you feel even better, if you like.","After listening to your concerns, I think that your are feeling {}, is this true?",I'm sorry for misunderstanding how you are feeling. Please tell me how you are feeling so that I can understand better.,Thank you so much for opening up to me and telling me how you feel. I'm glad we could have this chat and I am here if you need me.,,,,,
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling anxious,I am feeling afraid,Not feeling great at the moment as I have anxiety,,,,,,,"Do you consider yourself an empath, and is it important to you to always be there for others?",Would you say that you feel the way you do because of someone else?,Do you feel the need to control anyone in this phase of your life?,Do you always tend to blame yourself when things go wrong?,"Would you, in all honesty, say that you're capable of seeing things from other people's points of view?",Are you going through any personal trauma in your life?,I am feeling amazing!,I am on top of the world!,Feeling great thank you!,"That's great! I could still recommend a protocol that can help build on this good feeling, if you would like to hear about it.","I think that you may be feeling {}, do you agree?",Sorry for the misunderstanding. What emotion would you say you are feeling at the moment?,Thank you so much for taking part in this. I hope to see you soon.,,,,,
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't really feel like myself today, I feel scared and afraid","I just don't feel right today, I have this crippling anxiety",I could not sleep last night from how anxious I was,,,,,,,"I'm sorry to hear you're feeling anxious, and I'd like to try and find out why you're feeling this way. Do you have the feeling that you may be putting other people before yourself most of the time?","Okay, this is understandable. Do you feel like someone else is the reason for you feeling this way?","Okay, thank you for this. Do you think you are often taking charge of people or things in your life?","Okay, that's fine. With you feeling like this, do you find yourself always beating yourself up or getting yourself down when things don't go your way?","Okay, thank you. In past conversations, have you ever tried to look at things from the other person's perspective to try and understand the situation better?","Thank you for being open and honest, I want to make sure you're okay. Is your social and personal well-being suffering particularly harshly at the moment, given everything that's going on?",I'm feeling really good!,"Im ready to go, I can't wait to start the day!",Today is going to be a good day I can feel it,"That's really good, I'm glad to hear it. If you want, I could suggest a protocol to elevate your mood.","Gathering everything from what you just told me, I believe you're feeling {} today, would you think it's fair to say that?","I'm sorry, maybe I'm not the best at reading people. How are you feeling today if you don't mind me asking, could you please select from the list below what you feel is closest to your current mood?",Thank you for your time. I'm sure we'll cross paths again!,,,,,
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I feel worried today because I might lose my job.,"I am feeling nervous today, I am going for a job interview.",I am feeling frightened today because I have to go to court.,,,,,,,"I want you to know that I completely understand what it's like to feel this way, and my next questions might help me understand what is going on under the surface. Do you think you could be trying to be the rescuer of someone else?","Ok, let's explore that a little further. Do you think you might be holding others responsible for how you feel about yourself, possibly seeing yourself as a victim?","Thank you for talking about this with me. Another possibility is that you may be trying to control someone else in order to feel less anxious, do you think this could be the case?","Thank you, I'd like us to dig a little deeper if that's ok with you. When things don't work out the way you'd like, do you think you always blame yourself for that?",Do you think it is helpful for you to look at things from another person's perspective ?,Is there anything happening in your personal life that you may be having difficulty with?,"I am feeling great today, this sun is shining and it's a good day.",Wonderful ! I have a new job.,I feel really pleased today.,"I'm really pleased you feel that way. I think I can recommend a protocol that could help you feel even happier, would you like to hear about it?","What I am hearing is that you feel {}, is that right?","Oh my apologies, I have misunderstood. Please choose the emotion that you identify with:","We've come to the end of the session, I'd like to thank you for taking the time to work through this with me. See you soon.",,,,,
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I feel afraid and unsettled today.,"Honestly, I feel quite anxious today.",I'm a little on edge. Perhaps that's just my anxiety.,,,,,,,I understand that you feel a little unsettled and anxious right now. Could you tell me a little more about how you feel? Are you feeling the need to help someone else in your life in order to make yourself feel better?,"That's fine, thanks for answering. I'd like to ask, if you don't mind, whether you feel you're being victimized and/or that someone else is responsible for how negative you have been feeling?","For one reason or another, it is quite common to want to control things or people in our life, especially when we are going through a rough patch and feel that nothing is going our way. Is there a chance that you might be trying to control someone you know?",Do you sense that you have a tendency to always blame and accuse yourself whenever something goes wrong?,"I'd like you to think carefully and tell me, honestly, if you think you have been fully listening to other people's advice lately and thought it was worth taking that advice onboard.","While it is normal to face some hardships in life, major events like  breaking up with loved ones or falling out with friends can sometimes culminate into a personal crisis. Do you think that you may be going through a serious crisis right now?","I feel great, i'm in my happy place.","I'm doing well, I feel very happy today.","I'm in a good mood today, I haven't felt this happy in a long time.",I'm glad that you're in a good mood. I can recommend you a protocol you can try to make yourself feel even better! What do you think?,"Going off of what you have told me, it seems as though you are feeling {}, do you think this is accurate?","I am sorry, perhaps I misunderstood how you are feeling. I think it might be best if you could pick out the emotion that you feel represents your case the best:",I want to sincerely thank you for taking part in this. I hope to see you soon!,,,,,
Female,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am not doing great, I just can't face the day.",Not good. I'm scared of what is to come.,I just can't face the day. I'm sorry. I need to be alone right now.,,,,,,,"Do you feel that you have a strong desire to help others lately and you may be over extending yourself a little, to the point where it is affecting your own life?",Do you feel that someone may be responsible for how you are currently feeling?,"Do you feel like maybe you are trying to control the outcome of a situation, when you should just accept the way things are and allow things to flow?","Are you always putting yourself responsible for anything that happens, and blaming yourself for any failure?","Generally speaking, do you think you always listen to other people's perspectives and take note of why they do what they do?","I would like to ask you about how things are going in your life in general. Right now, do you feel there are unresolved issues with friends or family?",I'm feeling great.,"I'm good, ready for the day.","I'm good, thanks!","That's great, I'm happy for you! Can I recommend a protocol for you to attempt?",Thank you. Would I be correct in saying that you are feeling {}?,"Oh, I'm sorry. Could you please let me know how you are feeling:",Thank you for sharing with me today. Come back to me anytime you want to talk.,,,,,
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am feeling really unwell today, like I am being followed the whole time.","My heart feels like it is pounding out of my chest, I feel so anxious today","I'm feeling under the weather today like there is something clenching my heart, and squeezing it",,,,,,,"Do you believe you are capable of saving everyone, at all times?",Do you believe that someone else is at fault for the negative feelings you feel?,"Do you believe that you could be manipulative of someone else, even if that is not your intention?",Are you always to blame when things don't turn out the way they should? Do you stand to be the one accused of when things go wrong?,"Have you been thinking at all about what other people may have advised, and which could be of help to you now?",Is there a recent event between you and another person that is making you feel unwell or depressed?,"I am feeling over the moon today, nothing can bring me down.",Today is going to be awesome,"Today is going to be a jolly good day for me, I feel great!",Nice to hear you're in a good mood. I actually have a beneficial protocol you could try.,"Thank you for sharing. I have the impression that you are {} today, is this correct?","My apologies, I must be mistaken then. Please tell me, which of these emotions below are you experiencing?","Thank you, I greatly appreciate that you took part in this activity. I look forward to seeing you in the near future.",,,,,
Female,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am worried that I will run out of money before payday.,Anxious because there are some family issues I need to resolve.,I am afraid of my cats getting ill.,,,,,,,Are you concerned and anxious that it is your job to make someone else happier?,"Is it possible that you feel that someone else's actions have made you unhappy, through no fault of your own?",Do you think you are in a position where you are trying to influence how someone else behaves?,"There is a chance that you might always see yourself at fault when something goes wrong, do you think that is true?",It is easy to just see one side of an argument sometimes. Do you feel that you always approach conversations with an open mind?,I hope you can trust me enough to let me know if you need help. Do you feel you are going through a really hard time at the moment?,I am happy today because am on holiday tomorrow.,"A lot of good things have happened today, so I'm particularly happy.",I'm definitely content because I slept really well last night.,"Great, it looks like you've taken a massive step towards getting happier! Shall we pick a protocol together to keep this going?","Thank you, let me just double check on what you've just told me. From what I can gather you are feeling {}, is that accurate?","Sorry, I got the wrong end of the stick. If you look at this list, you can point out which emotion you are feeling, then there will be no misunderstanding.","I'm really pleased we managed to have this time together, I hope it helped you. You can come back whenever you feel like talking some more.",,,,,
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think I'm going to have a panic attack.,I'm terrified about getting the results today.,"I feel so anxious, I don't think I can cope.",,,,,,,Do you think it's possible that at least some of your anxiety could be caused by the burden of feeling responsible for saving someone else?,"OK, thanks for your answer. Do you think that your negative feelings are being caused by someone else's actions toward you?",Is it possible that you're anxious because you feel that someone else does things that you should have more control over?,Do you always think it's your own fault when things go wrong?,"Please think back to previous conversations with other people. In previous conversations you've had, did you consider the viewpoints of the other person, even when they were different from your own?","It's very common for people to become anxious when things aren't going well in their personal lives. Are you having a more stressful time than usual in your personal life (for example, a problem with loved ones or friends)?","On top of the world, mate!",Couldn't be happier.,"Things are going really well, thanks.","Great to hear that you're feeling well. Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it?","Thanks for your answer. It sounds to me like you're {} right now, does that description match how you feel?","Sorry about that, I really want to understand how you're feeling. Could you please help me by selecting the option from the list that best matches how you're feeling?","Thank you so much for taking part in this session, I really appreciate your time and the thoughtful input you provided, and hope the session was of some use to you. I'm looking forward to seeing you again soon, take care.",,,,,
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am not feeling good today. I am pretty anxious and upset.,Not great. I am worried for my safety.,I think someone has been following me and I am afraid.,,,,,,,Do you think that you might be looking to change someone instead of focusing on yourself?,Sometimes we might feel that others are responsible for our feelings. Do you believe someone is causing your anxiety right now?,It can be hard to accept that we cannot control other people's thoughts or actions. Have you found yourself trying to control someone lately? Please rest assured that I would not judge you for it.,Do you think that you are always hard on yourself?,Would you agree that different views on the same subject can open us up to other possibilities?,Is there anything major happening in your life that might be causing you to be anxious?,I am feeling great.,I am so happy right now.,Everything is going so well for me at the moment.,"Great! Let's explore more on these feelings with a protocol, if you feel up for it.","If I understand correctly you are feeling {}, does that describe it accurately enough?",My apologies. Let's take a look at this list and see what best reflects what is you are feeling right now.,"It was great to talk to you, thank you for your time. Bye for now.",,,,,
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not feeling good. I'm stressing out about my upcoming exams.,"I'm scared, my abusive ex has tried contacting me again.","I'm nervous, my class presentation is tomorrow and I hate speaking in front of crowds.",,,,,,,"I can relate with what you're feeling right now and would like to see if there are deeper factors at play here. Do you see yourself as the kind of person who wants, or needs, to save others?",Do you feel that you're not to blame for how you're feeling right now and that someone or something else is the reason?,Do you feel like you might be trying to influence someone else in your life right now?,Do you always feel like you're putting all the blame on yourself for when things don't work out?,"When speaking to other people, do you feel like you take their opinions into consideration?","I'd like to know how other things in your life, and relationships, are going right now. Is it possible that you are going through a particularly rough patch at the moment, or are facing major issues?","I'm doing well, thank you! Just started my vacation and it's been relaxing.",Great! My exam marks were released and I did well!,"Good, was able to visit the family on the weekend and had a lovely supper with them.","Wonderful! I can recommend a protocol to help you feel even better, if you'd like.","From what you've told me, it sounds like you're feeling {}, is this right?","My apologies. If you could, please tell me how you're feeling by selecting from the list below:","Thanks, I appreciate your cooperation. See you again soon!",,,,,
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm feeling a little anxious today as I wait for some results,I feel afraid that I'm going to fail,I'm rather anxious about what will happen,,,,,,,Thank you. Do you feel like others are relying on you too much for support?,Thank you for letting me know. Do you think someone else's behaviour has made you feel this way?,"Thank you, I understand. Are you finding yourself wanting to steer someone else's behaviour or actions in the right direction? ",I just want to ask about any feelings of culpability that you may be experiencing. Do you always feel like everything is your fault?,"I see, thank you, and what about how you relate to others. Can you say, with honesty, that you taken other people's feelings into consideration and listened carefully to what they had to tell you?","Thank you again, I just want to make sure that everying is alright in general. Is there any part of your life that is troubling you lately?","I'm great thanks very much, I've had a good day","I'm feeling fabulous, I've just dropped a dress size","Absolutely, I feel energised after that work out","Brilliant, that's always nice to hear. Would you like me to give you a protocol to feel even more content?","I feel that you are feeling quite {} today, is that right?","I am so sorry, I didn't mean to misjudge. Are you feeling any of these emotions? If so please let me know by selecting it:",Thank you so much for talking to me. I look forward to speaking again soon.,,,,,
Male,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am feeling stressed today. I have too much too do, with too little time in which to do it.",I am feeling anxious about an upcoming doctor's appointment.,I am feeling afraid I won't pass my driver's test.,,,,,,,Could it be that you feel a need to try to rescue others and that this may be the source of the anxiety you are feeling?,"Could it be that perhaps you feel someone else might to be blame for your negative feelings, and this is contributing to your anxiety?","Thank you, I would like to help you feel better, as I know anxiety is difficult. Is it possible that you are trying to control someone and could this be contributing to your feelings of great stress?","I will try to help a bit more, if it is ok with you, as I see your distress. Could it be that you are being too hard on yourself, always blaming and accusing yourself when something goes wrong?","I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love?","Perhaps your stress stems from something difficult you are personally going through. Are you experiencing any difficulties with loved ones, or friends?","I am feeling great today, thank you!","I am feeling very content today, thank you!","I am feeling very blessed and grateful today, thank you.","Oh I am very glad to hear that! Feeling happy/content is something we all want to maintain, so may I recommend a therapeutic protocol you may use to enhance and maintain that positive feeling?","Now, I would just like to clarify you are feeling {}, is that correct?","My apologies for misunderstanding how you are actually feeling. Could you please select from the emotions below the one that best reflects what you are feeling, so I can understand it better?",Thank you kindly for your time and cooperation during this session. I look forward to another session soon.,,,,,
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am worried about my job,My child is ill,I have no money,,,,,,,Do you sometimes feel that you're trying to rescue everyone?,Are you blaming others in any way for the way you feel?,Do you think there's a possibility that the way you are behaving may be construed as controlling?,Do you think that perhaps you are always blaming yourself when thing don't work out?,Have you always listened to the people in your life and considered their point of view on things whenever you have spoken to them?,"Thank you, I'd like to know more about how you are feeling in general. Are you by any chance experiencing personal difficulties at present?",Great I've just won the lotto,"Excellent, it's my birthday","Tremendous, I've just been promoted at work",This is fantastic to hear. Would you like to try a protocol?,"Thank you. I get the impression you are feeling {}, am I right?",Sorry about that. Please read the below emotions and select the one that best fits how you feel:,I'm really happy that you have taken part in this session today. Talk again soon.,,,,,
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I feel a bit stressed as I have to give a speech in front of the whole school.,I do feel a little anxious as I am about to do something I have never done before.,Today I am feeling a little afraid that I will not have good grades in the exam results expected later today.,,,,,,,"Do you feel like you have to be a saviour to others, or that others always expect your help?",Do you feel as if someone else is causing your negative feelings?,"Are you feeling as though you need to control someone else, because you feel out of control of yourself?",Do you always feel than your negative feelings or experiences are your own fault?,Are you always willing to hear other people's advice?,Are you having a particularly difficult time right now? Do you feel that you need help?,Pretty good.,I'm great.,Excellent.,"Good, let's find a way to keep that feeling going! May I recommend a protocol for you to try?","It seems that you're feeling {} today, is that an accurate enough description of what you're feeling?","I'm so sorry. Do you want to help me understand how you're feeling, by selecting it yourself?",I appreciate that you've spent this time with me. I hope to see you soon.,,,,,
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I cannot answer that right now and need to leave.,Why are you asking me that?,I'm seriously concerned about climate change,,,,,,,Do you think you have something important to offer someone else?,Are you hurting from something you feel someone else has done to you?,"Is there any chance you might be forcing someone else, perhaps someone you care about, into behaving in a way that you want?",Do you feel you might always unintentionally be hurting yourself when you think things are not going your way?,"Looking back, have you always tried to put yourself in other people's shoes?",Do you feel people you adore and care about are not understanding what you are going through during this difficult time?,Life is good.,It is a magical day to be alive!,It is another beautiful day.,That is great to hear! Would you like to try a protocol to match your mood? I hope it could inspire you and brighten your day even more.,"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?",My bad. Can you let me know how you feel by choosing the correct emotion from the list below?,"Thank you for being brave and sharing your feelings today, I appreciate that. I look forward to our next session.",,,,,
Female,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am feeling rubbish today, my anxiety is trough the roof.",So awful. I had a really scary dream and it's made me feel so anxious.,"I'm okay, I just have some anxiety about the future.",,,,,,,Do you feel you want to rescue others and make them feel better?,Do you feel as though others purposely behave in a way that makes you feel bad?,"Have you found yourself wanting to have more control over other people lately, or wishing you could change their behaviour?",Do you feel you are always making yourself the reason for things going wrong?,Would you say that you have always been open to listening to other people's opinions?,Is there anything major happening right now in your life that may make you feel like this?,I am feeling great today! Thank you.,"Today is a great day, how are you?",I am feeling so good today!,That's great! To keep this up may I show you a protocol you can do?,"I can see you may be feeling {}, is this accurate?",I am sorry. Please help me understand by picking out which emotion you are feeling from this list:,"Thank you so much for your honesty and efforts today, much appreciated. See you again soon!",,,,,
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't like being in crowds, it makes me really anxious and kind of scared",I have just had a panic attack and I feel awful,I'm shaky and have a feeling of dread,,,,,,,Do you always feel like you have to put others before yourself?,"Do you feel, lately, like people are 'out to get you'?","Do you feel responsible for someone else, to the point that you may be trying to change or correct their behaviour?",Do you always feel like things that go wrong are your fault?,"Do you feel like other people's opinions are valid, and do you listen to them?",Is there anything particularly stressful going on in your life?,Hopeful,Excited,Great,"I have a protocol for you which I think you will like, if you're interested.","Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?",I am sorry. Please tell me how you're actually feeling.,"I really appreciate you speaking with me, it takes courage to talk about one's feelings. I look forward to talking with you again!",,,,,
Male,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm stressed and worried cause my business has declined,My health has deteriorated due to covid-19 and I am seriously worried,I feel really anxious due to some financial problems,,,,,,,"I understand that you are not feeling well today, and would like to investigate further what is bothering you. Are you feeling this way because you are trying to help someone that you care for?","Has someone hurt you, or worried you, and are you upset with them because they have caused you so much trouble?","Are you trying to help too much, perhaps, and this person won't listen to you?","Thank you. There's no right or wrong answer here, it's good to just explore things. Do you think that you are always responsible when things don't work out the way you want them to?",Do you think that you have listened carefully enough to what others have been trying to tell you?,"Things must be very difficult for you right now, so I wonder if anything major is happening. Is there anything going on in your life that feels bigger than normal?","It is a wonderful day, and I am feeling great.","I slept really well last night, and I am feeling calm and rested, and in the best of spirits.","I am feeling great, thanks, how are you?",It is great to see you so positive today. May I recommend a protocol that is suitable for your current mood?,"Thank you for sharing your thoughts with me. I have the feeling that you are {}, is that the case?","Sorry, sometimes it can be hard to make an accurate assessment of someone else's feelings. Would you like to pick out the kind of emotion you are feeling from this list?","I want to thank you for sharing your thoughts and feelings with me today. I really would like to see you again soon, so please drop by when you can.",,,,,
