性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我的孩子受苦。他们发烧了,我怕我的孩子生病了,我担心我的孩子可能感染了 covid-19,,,,,,,有时我们可能会觉得解决所有问题并帮助每个人是我们的工作。你认为你要为别人的幸福负责吗？,您认为其他人的态度和/或行为会影响您的感受吗？,你是否认为也许你是在试图强迫别人？,会不会是你总是对自己太苛刻？,有时很容易被我们自己的观点所迷惑。你通常对别人的观点持开放态度吗？,看起来你可能过得很艰难，请知道你可以和我谈谈。你的生活中有什么特别令人痛苦的事情吗？,伟大的。谢谢你。,极好的。到目前为止，这是美好的一天！,这里一切都很好。谢谢你的提问。,那太棒了现在，为了让你感觉更好，我可以建议一个协议，你有兴趣吗？,听起来您是 {}，是吗？,对不起，我一定是看错了情况。请告诉我，你感觉如何？,谢谢你今天，我真的很感激。很快又赶上了。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我吓得魂不附体，胃不舒服。,可怕，我真的很着急,,,,,,,,你通常把别人放在自己之前吗？,谢谢你让我知道。有人对你做了什么吗？,谢谢你。有人没有按照你喜欢的方式做事吗？,明白了，谢谢当事情出错时，你是否总是责备自己，即使这不是你的错？,谢谢你的回答。您是否曾经尝试从不同的角度看待事物，尝试将自己置于别人的位置？,我明白。您是否觉得自己的生活遇到了困难？,伟大的！,其实还不错！,不能抱怨，事情进展得很顺利。,凉爽的！您想尝试一种协议来增强这种感觉吗？,谢谢你。如果我理解正确，您的感觉是 {}，对吗？,哦对不起。你能选择你感受到哪种情绪，或者最接近它的一种情绪吗？,感谢您今天的时间！希望早日收到你的消息！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我强调我不会按时完成我的工作,我担心我的工作不会达到足够高的标准,我怕我不会通过考试,,,,,,,谢谢你。你有没有想过你对某人有足够的影响力，你可以或应该拯救他们？,谢谢你的回答。你是否觉得有人给你施加了不适当的压力？,谢谢你。或许，您是否相信您正在对一个人施加不适当的压力来获得您所需要的结果？,没关系，谢谢。你是否总是把情况看得太个人化，以至于你觉得对失败负责，并认为这总是你的错？,在过去的互动中，您是否相信自己一直在倾听并听到其他表达的意见？,您的个人生活中是否有任何事情对您所处的位置和目前的工作产生负面影响？,我很高兴来到我所在的地方,我对我的生活很满意,我感谢我拥有的一切,为了保持内容的感觉，您可能对制定协议感兴趣？,听完您所说的，我了解到您的感受是 {}，我的理解是否正确？,很抱歉我误解了这一点。请问您从下面的列表中选择更准确地反映您的感受的情绪吗？,我非常感谢您所花费的时间以及您与我分享的所有内容。我希望很快能再次联系。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我担心我的职业,,,,,,,,,你觉得你对另一个人或其他人完全负责吗？,谢谢，我明白了。在您看来，您是否认为自己会因为自己的感受而责怪他人？,您是否认为您可能以某种方式控制或试图控制另一个人？,当出现问题时，你是否总是承担责任，即使它可能根本不是你的错？,谢谢你。回想一下您进行过的其他对话，您是否认为自己充分听取并考虑了其他人的观点？,你觉得你现在正在经历人生中的一段艰难时期吗？,感觉真好,非常感谢您的提问,都好,听到这个消息我很高兴。您是否有兴趣查看可以尝试的协议？,明白了，谢谢分享。我认为您有 {} 的感觉，我这样说是否正确？,对此我感到非常抱歉。你能从下面的情绪中突出你现在真正感受到的情绪吗？,我真的很感谢你的努力，谢谢你的参与。让我们很快再谈。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到害怕，因为我今天必须做演讲,我真的很担心我的求职面试,我很担心我男朋友不理我的消息,,,,,,,谢谢你。如果您能够拯救他人或帮助他们摆脱困境，您是否觉得自己的生活会更快乐？,谢谢，如果可以的话，我想问一个后续问题。我可以问你是否觉得其他人可能是你消极情绪的原因，而不是你自己的行为或行为？,我明白了，谢谢，我还有一个问题想问。你有没有觉得生活中有些事情或人太难以预测了，并希望你能对它们有更多的控制？,谢谢，请注意，如果可以的话，让我们进一步探索。有时事情可能会出错或无法解决；当这种情况发生时，你是否觉得自己总是有错？,现在，我希望您回想一下您与朋友、家人或同事的对话。你觉得你善于倾听别人的意见，理解所有的观点吗？,请问您目前在生活中是否遇到了特别的困难或困难，可能会导致您过度担心或痛苦？,我今天在公园散步时表现很好,我很高兴因为我和我的朋友出去了,我今天感觉很好，因为我完成了我所有的工作,听到这个消息我很高兴！我可以建议一种可能有助于增强您的积极情绪的协议，确保您尽可能长时间地感觉良好。,从您的回复看来，您今天感觉{}，我说的对吗？,哦不，我好像误会了，我很抱歉。让我再试一次：请看下面的列表，然后选择哪种情绪最能代表您今天的感受。,今天到此结束，感谢您与我交谈，我希望这次谈话对您有所帮助。期待很快再次见到您。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我怕我女朋友出轨,我觉得我女朋友一直在骗我，这让我很焦虑,我担心我的女朋友可能有外遇,,,,,,,谢谢你。如果我问，你觉得你必须总是帮助别人吗？,当你情绪低落时，你是否发现自己曾经责怪别人？,你有没有觉得你在试图控制别人？,当事情出错时，您是否总是觉得要自责？,我明白。你觉得你可以倾听别人的意见来帮助你度过难关吗？,您是否正在经历一些让您感到疲倦或让您感到压力的事情？,我感觉很好,是的，我很甜,我很好谢谢,很高兴你很好。我可以给你一个协议，你可以尝试让这种良好的感觉产生更持久的影响吗？,根据我们的讨论，我认为您可能会感觉到 {}，这听起来对吗？,对不起，我一定是误会了。请从下面最能反映您感受的情绪中选择一种。,感谢您今天的耐心等待。再见！,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我很好，但我觉得我们可能会失去足球比赛,我不好，我害怕反对派,我很好，但我有一种奇怪的感觉，好像有什么可怕的事情要发生在我身上,,,,,,,你可能认为在你目前的情况下你应该能够拯救别人吗？,你可能觉得自己是一个受害者，你是否觉得你的焦虑背后有人？,您是否有任何想法表明您可能希望对某个人有更多的控制权？,你是否总是倾向于为生活中的错误而责备自己？,你有没有考虑过在之前的谈话中呈现给你的其他观点？,您是否有个人问题，例如与所爱的人有困难或与朋友分手？,我很好，谢谢你，感谢上帝赐予我生命,我很好，我不能抱怨,我很好，谢谢，上帝很好，生活很美好,那太好了。你能让我沉迷于你可以尝试增强感觉的协议吗？,根据您告诉我的情况，您可能感觉 {}，我这样说是否正确？,请原谅我。在不引导你的情况下，请从我给你的清单中选择你的感受。,我真的很想花时间感谢您成为如此出色的参与者。很高兴能很快再次见到你。,,,,,
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我有些害怕，因为城里所有的骚乱让我担心自己会出事，否则我将无法获得食物和必需品。,我感觉有点压力，因为我忘记付信用卡了。,我担心我所做的一个项目，因为我担心我可能犯了错误。,,,,,,,我了解您感到焦虑。你认为你的焦虑可能是因为你试图拯救一个可能不需要拯救的人吗？,您可能会因为将自己视为受害者而有这种感觉吗？,我能理解焦虑是什么感觉，有时焦虑会让我们觉得某人没有按照他们应该的方式行事。可能是你试图控制某人，甚至没有意识到吗？,明白了，谢谢你是否认为，当出现问题时，你总是责怪自己？,我理解您的感受并且不想以任何方式冒犯您，但我确实需要询问您如何与其他人及其想法打交道。在之前的讨论中，您是否考虑过其他人关于这个问题和其他主题的观点？,谢谢你对我敞开心扉，我真的很感激。请问您是否遇到与亲人或朋友的一些问题，或者您是否处理过任何其他重大的痛苦事件？,我感觉很棒，谢谢，我刚刚被告知我被提名一个奖项。,我很好，谢谢，此刻对我的生活感到非常满意 - 我刚刚遇到了一个了不起的人。你今天感觉如何？,我今天很开心，我刚升职加薪。,我很高兴听到这个。我认为这将是尝试可能让您感觉更好的协议的最佳时机。,谢谢，我只是想确保我理解正确。我想您感觉 {}，这听起来对吗？,哦不，我很抱歉。如果您不介意，请从此列表中选择您的感受：,非常感谢您在本次会议上与我共度时光。我真的很期待很快见到你。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有点担心。,有点紧张,稍微在边缘。,,,,,,,也许你给自己施加了太多的压力来帮助别人。你觉得别人太依赖你了吗？,那么这样的话，我想知道，也许你觉得你太依赖别人的认可了。你认为你的负面情绪部分是由他人造成的吗？,你觉得对别人有任何责任吗？你会说你试图过多地影响他们的生活吗？,也许你对自己太苛刻了。当出现问题时，您是否总是发现自己有错？,当您与他人交谈时，您通常会尝试了解他们的观点吗？,最近发生了什么可能影响你情绪的事情吗？例如与某人的关系发生变化。,伟大的,我很好，谢谢,我感觉很好,听到这个消息我很高兴！让我们尝试一个协议，看看我们是否可以继续这样做，你怎么说？,谢谢，我只是想确保我们在同一页面上。您认为 {} 最能描述您现在的感受吗？,我为我的误会道歉。您认为以下哪一项最接近您目前的感受？,非常感谢您的时间和努力。祝你有美好的一天！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的很不舒服。等待我的结果正盯着我吓坏了！,今天醒来感觉不到自己，这让我感到害怕。每当我有这种感觉时，总会发生一些不好的事情。,我们国家正在发生的抢劫让我担心我的生命和我所爱的人。,,,,,,,我想进一步调查一下是什么造成了这种感觉。你认为你应该成为别人的救世主吗？,好的，如果您能与我分享更多信息，我将不胜感激。你可能认为自己是受害者吗？你会因为你的负面情绪而责怪别人吗？,我明白了，谢谢你，让我们继续下一个问题，试图找到你感受的根源。也许你觉得你在试图控制某人？,好的谢谢。你会说你最近总是在责备自己，每次出了什么问题吗？,请告诉我，您通常容易参与对话并听取他人意见吗？,请记住这是一个安全的空间，我在这里帮助您感觉更好。如果我问，您是否觉得您现在正在经历个人危机（例如与亲人相处困难或与朋友闹翻）？,太阳出来了，我有一种感觉，这将是美好的一天！,今天，我欣喜若狂。我的结果是阴性的。,今天，我恰好是活着的最幸福的人。你知道为什么？仅仅因为我已经让它看到另一天。,那太棒了！我可以推荐一个您可以尝试增强这种积极感觉的协议吗？,感谢您通过分享您的感受来信任我。从你告诉我的情况来看，我相信你有 {} 的感觉？,我很抱歉造成误解。请从下面反映您感受的情绪中选择一种来纠正我：,感谢您的合作和参与本次会议。期待很快见到你。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到压力和焦虑,我感觉不太好，有焦虑,我只想离开这里,,,,,,,很抱歉听到您的麻烦，让我们尝试深入了解它。你相信你是在让某人失望吗？,你认为你有坏事吗？,你想从某人身上得到特定的东西吗？,当事情没有按计划进行时，你总是责备自己吗？,你考虑过别人的想法吗？,在您的生活中是否有一些特别令人痛苦的事情会影响您的感受？,伟大的,惊奇球,真的很好,我可以推荐一个协议来增强它吗？,谢谢，如果我错了，请原谅我。我相信您是 {}，我的想法是否正确？,啊，我道歉。此列表中的哪种情绪最能描述您的经历？,真的非常感谢你。我希望很快能见到你。,,,,,
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感觉不太好，我有一种伴随焦虑而来的下沉感。,我觉得可能会发生一些不好的事情，而且我担心它会发生。,我真的感觉不是很好，我有一种恐惧的感觉在我的肚子里。,,,,,,,如果你帮助别人，你认为对你有帮助吗？,我想知道你是否觉得别人的行为让你有这种感觉。你会因为你现在的感受而责怪别人吗？,是否希望你能影响某人或某事？,很抱歉，您感觉不太好，我想知道您是否为此将责任归咎于自己。你认为你总是为每一个问题责备自己吗？,你会说你在和别人聊天的时候总是能考虑到别人的观点和意见吗？,我担心你的感受。此刻您的生活中是否有特别艰难的时刻？,我感觉很好谢谢,一切顺利，我很高兴地说,谢谢你的提问，我在一个好地方,很高兴听到这个。我正在考虑一项可能会让您感觉更好的协议，您想听更多吗？,我想说您现在感觉{}，您认为这是对您当前心情的合理描述吗？,我真的很抱歉我做错了。也许以下情绪之一会更准确地描述它？,我很高兴你能参加。我希望我们能尽快联系，再次感谢。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天是漫长的一天，会议的进展让我对我在这家公司的未来感到茫然,现在在抢劫袭击后我的生活极度紧张,担心我的测试结果会是什么,,,,,,,我知道你现在正在经历一个艰难的时刻，但请让我调查一下，看看是否有更深层次的原因。你认为你可能有试图拯救其他人的倾向吗？,没关系，谢谢。你会因为发生在你身上的事情而责怪任何人吗？你认为自己是这一切的受害者吗？,我很感激你对我敞开心扉。在这一切中，您是否看到自己试图影响或控制他人的行为？,谢谢，你的情绪和感觉是有效的，我想了解更多。您是否总是觉得生活中的任何困境或问题都应该归咎于您？,谢谢，我很欣赏你的诚实，在我看来你是一个非常开放的人，但是有时很容易过于执着于我们的信念，这会阻止我们作为个人成长。老实说，您是否觉得自己一直能够接受其他人的观点？,感谢您迄今为止分享的一切。如果我问您，您是否觉得自己正在经历特别困难的情况，无论是与家人、朋友还是亲人？,我做得很好，我得到了期待已久的晋升,这一天过得很好，我儿子拿到了冠军,我感觉自己在世界之巅，这是我的结婚纪念日,,阅读您告诉我的内容后，我相信您会感觉到 {}，这是否足够接近？,哦，对不起，我误会了你。从列出的情绪中，您能否选择最能定义您当前感受的情绪？,谢谢你，你很棒，很高兴能一起解决这个问题。我希望你能很快回来。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到有点害怕,我感到很不安,我现在很担心,,,,,,,很抱歉让您感到焦虑，如果还有其他因素在起作用，我希望尝试更好地理解。你现在的感觉是否是因为相信你应该在他们需要帮助的时候帮助他们？,我明白。你是否觉得别人有错，就好像他们让你有这种感觉一样？,我明白。也许您生活中的某个人没有按照您认为的那样行事，而您可能正在鼓励他们改变自己的方式？,我知道了。看看你自己，你会说你总是觉得有责任感还是在出现问题时责备自己？,在过去与朋友或亲人的对话中，每当他们与您分享时，您是否总是考虑过他们的观点？,如果这些问题听起来有点私人，我深表歉意。您是否正在经历某种个人危机或紧急情况，这是否是您情绪的原因？,我感到开心,我感到欣喜若狂,我对我的生活感到满意,太棒了，我很高兴听到它。我可以推荐一种治疗方案来增强您的积极情绪吗？,谢谢你对我敞开心扉。我假设您感觉 {} 是否正确？,我深表歉意。请从下面的列表中选择最能描述您的感受的情绪：,我很感激你的参与。我希望很快能再次与你合作。,,,,,
男性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我害怕。我找不到我的儿子。,我很担心，我的电话打不通。,我很害怕！一个疯狂的斧头杀人犯在我家。,,,,,,,你认为帮助别人是你的责任吗？,你认为人们对你不公平吗？,当有人做了你希望他们不会做的事情时，你真的很生气吗？,当出现问题时，您是否总是对自己感到难过？,你总是听每个人和你说话吗？,你觉得你现在可能正在经历个人危机吗？,我很好。,我很高兴。,我太棒了。,极好的！ Dio 你认为你今天可能想尝试一个协议？,我想您可能会感觉到 {}，您认为这是真的吗？,我很抱歉，我的错。在您看来，您目前正在感受这些情绪中的哪些？,谢谢，你今天很棒。我希望我能很快见到你，再见！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我对自己的 COVID 检测结果呈阳性感到担忧和恐惧。,我感到不安和不安，我不明白为什么。,我害怕在我的工作中不成功，感觉自己像个冒名顶替者。,,,,,,,您是否认为有时您会优先考虑其他人的问题并试图拯救他们而不是处理自己的问题？,您是否认为自己可能会无意中发现自己将他人视为消极情绪的来源，并因此而觉得自己是受害者？,您认为在管理您的负面情绪时，您是否可能对生活中的某个人表现出控制性行为？,当出现问题时，您是否发现自己总是向内看，并指责和指责自己？,在过去的谈话中，你是否认为你一直都充分考虑了别人提出的观点？,您现在的个人生活中是否有任何事情造成了额外的压力？,我太棒了，觉得我今天取得了很多成就。,我很高兴我刚刚通过了考试。,我很高兴，因为我刚被大学录取。,很高兴听到！我可以给你看一个可能会增强你现在感觉的协议吗？,听你说，你好像感觉{}，我理解正确吗？,对于误会，我深表歉意。如果您可以在下方选择一种真正反映您感受的情绪，那将非常有帮助。,非常感谢你的合作。我希望很快能在见到你。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦虑。,我今天真的很紧张。,我脑子里想了很多。,,,,,,,您是否觉得自己有责任帮助他人？,您是否觉得自己受到了他人行为的负面影响？,您是否认为您可能会试图控制另一个人，无论您是否有意？,你是否发现你总是为出错的事情责备自己，即使它们是你无法控制的？,老实说，您是否也考虑过他人因您的言行而可能会有的感受，并且您是否考虑过他们的观点？,如果我问，您目前是否正在经历一些可能导致您度过困难时期的个人问题？,我很好！,我感觉好极了。,我感谢我现在所处的位置。,那挺好的！如果您愿意，我有一些协议建议可以帮助您感觉更好。,听完您的担忧后，我认为您的感觉是 {}，这是真的吗？,我很抱歉误解了你的感受。请告诉我您的感受，以便我更好地理解。,非常感谢你向我敞开心扉，告诉我你的感受。我很高兴我们可以进行这次聊天，如果您需要我，我会在这里。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到焦虑,我感到害怕,目前感觉不太好，因为我有焦虑,,,,,,,你认为自己是一个同理心的人吗，总是为他人着想对你来说很重要吗？,你会说你的感受是因为别人吗？,在你生命的这个阶段，你觉得有必要控制任何人吗？,当事情出错时，你总是倾向于责备自己吗？,老实说，你会说你有能力从别人的角度看问题吗？,你在生活中经历过任何个人创伤吗？,我感觉很神奇！,我在世界之巅！,感觉很好谢谢！,那太棒了！如果你想听一听，我仍然可以推荐一个可以帮助建立这种良好感觉的协议。,我想您可能会感觉到 {}，您同意吗？,很抱歉对于这个误会。你会说你此刻的感受是什么？,非常感谢您参与其中。我希望很快能见到你。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的感觉不像我自己，我感到害怕和害怕,我只是今天感觉不对，我有这种严重的焦虑,我昨晚因为焦虑而睡不着,,,,,,,听到您感到焦虑，我很抱歉，我想尝试找出您有这种感觉的原因。你有没有觉得大部分时间你可能把别人放在自己之前？,好吧，这是可以理解的。你觉得别人是你这种感觉的原因吗？,好的，谢谢你。你认为你经常负责生活中的人或事吗？,好吧，没关系。有了这样的感觉，当事情不顺心时，你是否发现自己总是自责或沮丧？,好的谢谢。在过去的谈话中，你有没有尝试过从对方的角度看问题，试图更好地理解情况？,谢谢你的坦率和诚实，我想确保你没事。考虑到正在发生的一切，您的社交和个人福祉目前是否受到特别严重的影响？,我感觉真的很好！,我准备好了，我等不及要开始新的一天了！,今天将是美好的一天，我能感觉到,这真的很好，我很高兴听到它。如果你愿意，我可以建议一个协议来提升你的情绪。,综合你刚才告诉我的一切，我相信你今天感觉{}，你认为这样说公平吗？,对不起，也许我不是最擅长阅读人的。如果你不介意我问一下，你今天感觉如何，你能从下面的列表中选择你觉得最接近你当前心情的吗？,感谢您的时间。我相信我们会再次穿越的！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到很担心，因为我可能会失去工作。,今天心情很紧张，要去面试。,我今天感到很害怕，因为我必须上法庭。,,,,,,,我想让你知道我完全理解这种感觉是什么感觉，我接下来的问题可能会帮助我理解表面之下发生的事情。你认为你可以试图成为别人的救援者吗？,好的，让我们进一步探讨一下。你认为你可能会让别人对你对自己的感觉负责，可能将自己视为受害者吗？,谢谢你和我谈论这个。另一种可能性是，您可能试图控制他人以减少焦虑，您认为情况可能是这样吗？,谢谢你，如果你同意的话，我希望我们能深入挖掘一下。当事情没有按照你想要的方式发展时，你认为你总是为此责备自己吗？,你认为从另一个人的角度看事情对你有帮助吗？,在您的个人生活中是否有任何事情让您感到困难？,我今天感觉很好，阳光明媚，是美好的一天。,精彩的 ！我有一份新工作。,我今天感到非常高兴。,我真的很高兴你有这种感觉。我想我可以推荐一个可以让你感觉更快乐的协议，你想听听吗？,我听到的是您感觉 {}，是吗？,哦，对不起，我误会了。请选择您认同的情绪：,我们已经结束了会议，我要感谢您抽出时间与我一起解决这个问题。再见。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到害怕和不安。,老实说，我今天感到很焦虑。,我有点紧张。也许这只是我的焦虑。,,,,,,,我知道您现在感到有些不安和焦虑。你能告诉我更多关于你的感受吗？您是否觉得需要帮助生活中的其他人以使自己感觉更好？,那就好，谢谢解答。我想问一下，如果您不介意，您是否觉得自己受到了伤害和/或其他人对您的负面情绪负责？,出于某种原因，想要控制生活中的事物或人是很常见的，尤其是当我们正在经历一段艰难的时期并觉得没有任何进展时。你有没有可能试图控制你认识的人？,您是否感觉到每当出现问题时，您总是倾向于责备和指责自己？,我希望你仔细思考并诚实地告诉我，如果你认为你最近一直在充分听取其他人的建议，并认为值得采纳这些建议。,虽然在生活中遇到一些困难是正常的，但与亲人分手或与朋友闹翻等重大事件有时会导致个人危机。你认为你现在可能正在经历一场严重的危机吗？,我感觉很好，我在我快乐的地方。,我做得很好，我今天感到很高兴。,今天心情很好，好久没有这么开心了。,我很高兴你心情很好。我可以向您推荐一个协议，您可以尝试让自己感觉更好！你怎么认为？,根据你告诉我的内容，你似乎感觉{}，你认为这是准确的吗？,对不起，也许我误解了你的感受。我认为如果您能挑选出您认为最能代表您的情况的情感，那可能是最好的：,我要真诚地感谢您参与其中。我希望很快能见到你！,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我做得不好，我只是无法面对这一天。,不好。我害怕即将发生的事情。,我就是无法面对这一天。抱歉。我现在需要一个人。,,,,,,,你是否觉得你最近有一种强烈的帮助他人的愿望，你可能会过度扩展自己，以至于影响到你自己的生活？,你觉得有人可能对你目前的感受负责吗？,当您应该接受事物的现状并允许事物流动时，您是否觉得您可能正在尝试控制情况的结果？,你是否总是让自己为发生的任何事情负责，并为任何失败归咎于自己？,一般来说，你认为你总是倾听别人的观点并注意他们为什么做他们所做的事情吗？,我想问你关于你生活中的事情的总体情况。现在，您是否觉得与朋友或家人有未解决的问题？,我感觉很棒,我很好，准备好迎接这一天了。,我很好谢谢！,太好了，我为你高兴！我可以推荐一个协议供您尝试吗？,谢谢你。我说您感觉 {} 是否正确？,哦，对不起。能否请您告诉我您的感受：,谢谢你今天和我分享。想谈什么就回来找我。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感觉真的很不舒服，就像我一直被跟踪一样。,心都快跳出来了，今天好着急,我今天心情不好，就像有什么东西紧紧抓住我的心，挤压着它,,,,,,,你相信你有能力在任何时候拯救每一个人吗？,你认为别人对你的负面情绪有过错吗？,你相信你可以操纵别人吗，即使那不是你的本意？,当事情没有按照应有的方式发展时，您是否总是要受到责备？当事情出错时，你会成为被指责的人吗？,你有没有想过其他人可能提出的建议，哪些现在对你有帮助？,最近您和另一个人之间是否有让您感到不适或沮丧的事件？,我今天感觉好极了，没有什么可以让我失望。,今天会很精彩,今天对我来说将是一个愉快的好日子，我感觉很棒！,很高兴听到你心情很好。我实际上有一个有益的协议，你可以试试。,感谢你的分享。我的印象是你今天是 {}，这是正确的吗？,抱歉，那我一定是弄错了。请告诉我，您正在经历以下哪种情绪？,谢谢，非常感谢您参加本次活动。我期待着在不久的将来见到你。,,,,,
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我担心我会在发薪日之前用完钱。,我很焦虑，因为我需要解决一些家庭问题。,我怕我的猫生病。,,,,,,,您是否担心并担心让别人更快乐是您的工作？,你有没有可能觉得别人的行为让你不开心，而不是你自己的过错？,您是否认为您正处于试图影响他人行为方式的位置？,当出现问题时，您可能总是认为自己有错，您认为这是真的吗？,有时很容易只看到争论的一方面。您是否觉得自己总是以开放的心态进行对话？,我希望你能足够信任我，如果你需要帮助，请告诉我。你觉得你现在正在经历一段非常艰难的时期吗？,我今天很高兴，因为明天我放假了。,今天发生了很多好事，所以我特别高兴。,我肯定很满足，因为我昨晚睡得很好。,太好了，您似乎朝着更快乐迈出了一大步！我们要不要一起选择一个协议来保持这种状态？,谢谢你，让我仔细检查一下你刚刚告诉我的。据我所知，您的感受是 {}，准确吗？,对不起，我拿错了棍子的一端。如果你看这个列表，你可以指出你正在感受哪种情绪，那么就不会有误解。,我很高兴我们能一起度过这段时光，希望对你有帮助。想多聊几句的时候可以回来。,,,,,
