response,annotator1_score,annotator2_score,annotator3_score,empathy_score
你能告诉我这个令人不安的事件是前一段时间发生的还是最近发生的？,1,1,1,1
你是否总是对生活中的事情负责？,0,1,0,0
很抱歉，此协议无法为您提供帮助。你想尝试另一个吗？,1,1,2,1
你觉得如果别人改变他们的行为方式，你的生活会更轻松吗？,1,1,1,1
有时我们生气是因为我们想帮助别人，但我们觉得自己做不到，或者他们不让。你觉得你的生活中有一个人是你想要拯救或拯救的吗？,2,2,2,2
感谢您分享这个。无需过多详细说明，此事件是最近发生的还是已经有一段时间了？,1,2,2,2
谢谢，我明白了。你会说这种负面情绪是由最近对协议 6 的尝试引发的吗？,1,2,2,2
如果你必须对自己诚实，你觉得你可以或想要控制某人吗？,0,1,1,1
根据您告诉我的内容，我选择了一些可能对您有帮助的协议。您可以选择您喜欢的协议，它将显示给您，以便您尝试。,2,1,2,2
您是否尝试完成协议 6 并导致由于过去发生的事情而重新唤醒了一些不好的感觉？,1,0,1,1
谢谢你的分享。你能告诉我这件事发生并引起你的焦虑是最近还是遥远的过去？我越了解，就越能支持你。,2,2,2,2
你有没有担心你可能会把你的负面情绪发泄到别人身上？,1,1,2,1
谢谢您的回答。我现在想问你，你是否觉得自己是受害者，而让你有这种感觉的应该归咎于其他人。,1,1,2,1
也许你想成为别人的救世主？,1,0,0,0
我对你现在所经历的悲伤感到同情。我想知道，在你的生活中，你觉得应该为你的悲伤负责吗？,2,2,2,2
我觉得你今天感觉很{}，对吗？,0,0,1,0
非常感谢您与我交谈，我真的希望它做得很好。我期待很快再举行一次会议。,2,2,2,2
你有没有发现自己责备或控制周围的人？,1,0,1,1
你现在生活中是否有一些事情让你特别挣扎？,0,0,1,0
偶尔为自己的问题责备自己是正常的，但我们应该注意不要让这成为一种破坏性的习惯。当你的生活出现问题时，你认为总是你的错吗？,2,2,2,2
我想如果我们能找到这些感觉的根源，我们就能让你感觉好多了。您认为您想尝试以下任何协议吗？浏览一下，让我知道是否有您想尝试的东西。,2,2,2,2
非常感谢你的合作。回头见！,1,0,0,0
很高兴听到！您想尝试一种与您的心情相匹配的协议吗？我希望它能激发你的灵感，让你的一天更加美好。,1,2,2,2
协议 6 对您来说太难了吗？,0,0,1,0
这个事件是最近发生的还是不久前发生的？,0,0,0,0
杰出的！我们可以看看一些现在可以尝试的协议吗？,1,2,1,1
我想知道你是否认为这种消极的感觉给你带来了更大的问题。这种感觉是否导致了您和您所爱的人之间的紧张关系，还是引发了个人危机？,1,2,2,2
你认为你应该为别人牺牲自己吗？,0,0,1,0
在不打扰的情况下，我可以问一下您的生活中是否有人您认为他们的行为方式与您希望的方式不同？,1,2,2,2
我看得出来你很焦虑，我想帮忙。是不是有什么特别的东西导致了这种感觉？,2,2,2,2
你是否感到肩上的重担要拯救他人？,1,0,0,0
你是否试图帮助太多，也许，并觉得你试图帮助的人就是不听你的？,2,1,1,1
该协议是否帮助您感觉更好，或者您感觉更糟？,1,0,0,0
请选择您现在想尝试的协议。,0,0,0,0
在您与人们进行的其他对话中，您是否充分考虑过他们试图提出的观点？,0,1,1,1
您是否已经尝试通过执行协议 6 再次考虑这一点，如果是这样，那是怎么回事，它是否重新点燃了不舒服的情绪？,1,0,0,0
我很遗憾听到这次会议没有帮助。如您所知，列表中还有更多协议，您认为您是否愿意尝试另一种协议，看看效果如何？,1,2,2,2
我很遗憾听到你感觉不舒服。有没有什么特别的事情让你有这种感觉？,1,2,2,2
在你的个人生活中是否有任何事情可能让你心烦意乱，你有没有和你亲近的人闹翻？,1,1,2,1
你会说你是那种在谈话中乐于考虑别人观点的人吗？,1,0,1,1
过去与他人交谈时，您是否设身处地为他们着想？,0,0,1,0
你是否认为你总是必须让人们免于麻烦，即使他们是自己创造的？,1,0,0,0
如果你能通过这个协议，我会很高兴的。完成后，您可以按“继续”。,2,1,1,1
在你之前的谈话中，你觉得你总是能够考虑不同的观点吗？,1,0,1,1
你觉得你现在感觉如何，完成了协议？,1,1,1,1
你会诚实地说你对别人的观点持开放态度吗？,0,0,1,0
谢谢你。根据您告诉我的情况，我了解您的感受{}，您认为这或多或少描述了您的感受吗？,2,1,2,2
你认为这是别人的错，有没有人让你难过？,0,0,1,0
有没有什么特别让你有这种感觉？,0,0,1,0
您是否正在经历一些痛苦的事情，例如与您所爱的人或曾经的人吵架？,1,1,2,1
你能真正考虑与你交谈的人的观点吗？,1,0,0,0
试试这个协议，当你完成它时，按“继续”。,0,0,0,0
有时我们会感到强烈的情绪不是我们的；感觉它们是可以的，但值得反思它们。您认为您最近可能对某人表达过以下任何负面情绪：,2,2,2,2
现在，我想澄清一下您的感受{}，对吗？,1,0,0,0
感谢您确认您已采用此协议，我希望这对您来说是一次积极的体验。请问您现在感觉比开始方案之前好还是坏？,2,2,2,2
请告诉我您想尝试哪种协议。,0,0,1,0
做完这件事后你感觉如何？,0,0,0,0
我明白了，谢谢。这是由最近或遥远的事件（或事件）引起的吗？,1,0,0,0
您最近是否尝试过协议 6 并因此重温了创伤事件？,1,0,0,0
这个协议让你感觉更好还是更糟？,0,0,0,0
太棒了，总是很高兴听到。你想让我给你一个协议来感受更多的内容吗？,1,1,2,1
如果出现任何问题，您是否总是批评自己？,0,0,0,0
你觉得你让某人失望了吗？,0,0,0,0
你想试试哪一个？,0,0,0,0
